,poi_id,sg_id,placekey,parent_placekey,name,brands,top_category,sub_category,naics,lat,lon,address,city,region,zipcode,is_shared_polygon,has_parking_lot,is_synthetic,area_sqft
2966,2966,,22c-222@8gk-tt9-q2k,,Emanuel Temple Church of God In Christ,,Religious Organizations,Religious Organizations,813110,33.50921,-86.83439,433 1st St N,Birmingham,AL,35204,,,,
4495,4495,,226-222@8gk-tv2-wff,,Orbit Salon Local Artist Boutique,,Used Merchandise Stores,Used Merchandise Stores,453310,33.50095,-86.794914,2030 11th Ave S Ste B,Birmingham,AL,35205,,,,
5942,5942,,22c-222@8gk-tv3-fzz,,ServisFirst Bank,,Depository Credit Intermediation,Commercial Banking,522110,33.517384,-86.80636,324 Richard Arrington Jr Blvd N,Birmingham,AL,35203,,,,
7411,7411,,226-222@8gk-tv4-gp9,,Southern Radiator & Cooling,,Automotive Repair and Maintenance,General Automotive Repair,811111,33.511818,-86.80065,206 22nd St S,Birmingham,AL,35233,,,,
7608,7608,,244-222@8gk-twc-9vf,,American Sentinel University,,"Colleges, Universities, and Professional Schools","Colleges, Universities, and Professional Schools",611310,33.41639,-86.81001,500 Century Park S,Birmingham,AL,35226,,,,
9158,9158,,225-225@8gk-t8p-p7q,,Kenneth M Sigman MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.438667,-86.71763,3570 Grandview Pkwy Ste 100,Birmingham,AL,35243,,,,
9284,9284,,zzw-222@8gk-tv7-2ff,222-222@8gk-tv7-2ff,Boys & Girls Clubs of America,Boys & Girls Clubs of America,Individual and Family Services,Child and Youth Services,624110,33.532093,-86.77141,505 43rd St N Hayes K 8 School,Birmingham,AL,35222,,,,
9416,9416,,22f-222@8gk-ttf-v9f,,The Dollhouse Hair Salon,,Personal Care Services,Beauty Salons,812112,33.504864,-86.86492,1705 3rd Ave W,Birmingham,AL,35208,,,,
12458,12458,,22j-222@8gk-twc-9cq,,Heartwood Yoga,,Other Amusement and Recreation Industries,Fitness and Recreational Sports Centers,713940,33.41733,-86.81088,700 Century Park S,Birmingham,AL,35226,,,,
15746,15746,,zzw-223@8gk-tv2-wff,,Highlands United Methodist Church,,Religious Organizations,Religious Organizations,813110,33.50103,-86.79565,1045 20th St S,Birmingham,AL,35205,,,,
17120,17120,,zzw-222@8gk-tv2-5j9,zzw-227@8gk-tv2-5j9,Birmingham Obstetrics & Gynecology PC,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.50858,-86.789665,800 Saint Vincents Dr Ste 500,Birmingham,AL,35205,,,,
20678,20678,,222-222@8gm-972-kvf,,Jcceo Early Headstart Program,,Child Day Care Services,Child Day Care Services,624410,33.51623,-86.90796,2000 Pleasant Hill Rd,Birmingham,AL,35224,,,,
23963,23963,,222-222@8gk-tv4-fj9,,First United Methodist Church of Birmingham,,Religious Organizations,Religious Organizations,813110,33.518066,-86.81065,518 19th St N,Birmingham,AL,35203,,,,
24547,24547,,228-222@8gk-tmw-v9f,222-223@8gk-tmw-v4v,Alabama Internal Medicine,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.59521,-86.66737,48 Medical Park Dr E Ste 356,Birmingham,AL,35235,,,,
25083,25083,,225-222@8gk-tqn-zpv,,Golden City 2,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.417114,-86.67832,3000 Meadow Lake Dr Ste 113,Birmingham,AL,35242,,,,
25398,25398,,224-222@8gk-t8z-5fz,,Irondale Farm Stand,,Specialty Food Stores,Fruit and Vegetable Markets,445230,33.529823,-86.709854,5173 Northumberland Rd,Birmingham,AL,35210,,,,
27043,27043,,zzw-222@8gk-ttx-bff,,Doubletree By Hilton Birmingham Perimeter Park,DoubleTree by Hilton,Traveler Accommodation,Hotels (except Casino Hotels) and Motels,721110,33.437653,-86.725784,8 Perimeter Park S,Birmingham,AL,35243,,,,
27891,27891,,227-222@8gk-tvz-sdv,,Rising Star AME Zion Church,,Religious Organizations,Religious Organizations,813110,33.463913,-86.87622,2501 College Ave SW,Birmingham,AL,35211,,,,
28057,28057,,224-222@8gk-tq3-3kf,224-223@8gk-tq3-3kf,Western Union,Western Union,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390,33.385178,-86.7387,4496 Valleydale Rd,Birmingham,AL,35242,,,,
28494,28494,,223-222@8gk-t8w-5zz,,Fair Haven Retirement Center,,Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),623110,33.524,-86.72827,1424 Montclair Rd,Birmingham,AL,35210,,,,
28885,28885,,223-222@8gk-t8z-hdv,,Zaxby's,Zaxby's,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.52505,-86.72423,1548 Montclair Rd,Birmingham,AL,35210,,,,
30411,30411,,zzy-223@8gk-tv8-6zf,,Union Cemetery,,Death Care Services,Cemeteries and Crematories,812220,33.481953,-86.77979,Union Cemetery,Birmingham,AL,35228,,,,
32228,32228,,222-222@8gk-t74-m8v,,Palmer Brothers Auto Parts,,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,33.55649,-86.690575,1849 Ruffner Rd,Birmingham,AL,35210,,,,
33462,33462,,zzy-222@8gk-tq4-3wk,,Sunny Food Stores,,Grocery Stores,Convenience Stores,445120,33.387215,-86.69465,6101 Cahaba Valley Rd,Birmingham,AL,35242,,,,
34380,34380,,223-223@8gk-ttf-xyv,,Ensley Fairfield Upholstery,,Personal and Household Goods Repair and Maintenance,Reupholstery and Furniture Repair,811420,33.500042,-86.86355,1617 Lomb Ave,Birmingham,AL,35208,,,,
35273,35273,,225-222@8gk-ttb-5vf,,All American Insurance Agency,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210,33.508568,-86.82235,819 3rd Ave N,Birmingham,AL,35203,,,,
35618,35618,,227-222@8gk-tth-7qz,,Rally's Drive-In Restaurants,Rally's Drive-In Restaurants,Restaurants and Other Eating Places,Limited-Service Restaurants,722513,33.49975,-86.84271,636 Lomb Ave SW,Birmingham,AL,35211,,,,
36733,36733,,226-222@8gk-tsx-j9z,,Nexbillpay,,Other Financial Investment Activities,Investment Advice,523930,33.476246,-86.82675,2416 Green Springs Hwy,Birmingham,AL,35209,,,,
36774,36774,,223-223@8gk-tw2-q75,,Wavaho,,Gasoline Stations,Gasoline Stations with Convenience Stores,447110,33.47958,-86.8747,2400 Pearson Ave SW,Birmingham,AL,35211,,,,
37661,37661,,225-22c@8gk-tv2-6p9,zzw-228@8gk-ttz-w49,Kunz Kennedy F MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.50886,-86.78794,805 Saint Vincents Dr,Birmingham,AL,35205,,,,
38666,38666,,zzw-225@8gk-ttx-bhq,,Tax Assistance Group,,"Accounting, Tax Preparation, Bookkeeping, and Payroll Services",Tax Preparation Services,541213,33.43725,-86.72406,1 Perimeter Park S Ste 100N,Birmingham,AL,35243,,,,
39155,39155,,222-228@8gk-tdn-sh5,zzw-222@8gk-tdn-v9f,Avis Rent A Car,Avis Rent A Car,Automotive Equipment Rental and Leasing,Passenger Car Rental,532111,33.561825,-86.75176,5900 Messer Airport Hwy,Birmingham,AL,35212,,,,
40669,40669,,zzw-222@8gk-tv4-3yv,,Chesterfield Company Loans,,Activities Related to Credit Intermediation,Other Activities Related to Credit Intermediation,522390,33.51436,-86.81041,1715 3rd Ave N,Birmingham,AL,35203,,,,
41600,41600,,222-222@8gk-t8w-8sq,224-223@8gk-t8w-8sq,Shangri La,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.521156,-86.727425,4500 Montevallo Rd Ste B103,Birmingham,AL,35210,,,,
41679,41679,,22d-222@8gk-tct-t5f,,Ebony Beauty Supply,,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,33.551865,-86.81607,2913A 27th St N,Birmingham,AL,35207,,,,
42681,42681,,224-222@8gk-tv4-bkz,,Sophia's Deli & Catering,,Grocery Stores,Convenience Stores,445120,33.52217,-86.80887,723 Richard Arrington Jr Blvd N,Birmingham,AL,35203,,,,
42795,42795,,223-222@8gk-tc6-d7q,,Helpline Christian Outreach Ministries Inc,,Religious Organizations,Religious Organizations,813110,33.590378,-86.71448,8 Roebuck Dr,Birmingham,AL,35215,,,,
43481,43481,,228-223@8gk-tv7-7kf,,Chris Z's Express,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.516872,-86.78041,3425 6th Ave S,Birmingham,AL,35222,,,,
43731,43731,,223-222@8gk-tsx-9cq,,Precision Tune Auto Care,Precision Tune Auto Care,Automotive Repair and Maintenance,General Automotive Repair,811111,33.47158,-86.82386,312 Valley Ave,Birmingham,AL,35209,,,,
44156,44156,,223-222@8gk-tv6-gx5,,Reliable Body Shop,,Automotive Repair and Maintenance,General Automotive Repair,811111,33.523643,-86.778206,100 39th St S,Birmingham,AL,35222,,,,
44494,44494,,223-222@8gk-tvx-p5f,,M & W Automotive Repair,,Automotive Repair and Maintenance,General Automotive Repair,811111,33.478397,-86.89617,1215 Bessemer Rd,Birmingham,AL,35228,,,,
46829,46829,,224-222@8gk-tt7-6x5,,Princeton Baptist Medical Center,,General Medical and Surgical Hospitals,General Medical and Surgical Hospitals,622110,33.497707,-86.84838,701 Princeton Ave SW,Birmingham,AL,35211,,,,
48033,48033,,22c-222@8gk-tv4-gc5,,Wasabi Juan's,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.512295,-86.79956,2201 2nd Ave S Ste 105,Birmingham,AL,35233,,,,
48640,48640,,zzy-224@8gk-tqp-9mk,,Lyons Health & Wellness,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.405277,-86.662895,5511 Us 280 Ste 223,Birmingham,AL,35242,,,,
49281,49281,,223-23f@8gk-tv9-w8v,224-222@8gk-tv9-vvf,Cotlier Rochelle MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.505325,-86.805855,1600 7th Ave S,Birmingham,AL,35233,,,,
50500,50500,,222-222@8gk-ttz-w49,zzw-228@8gk-ttz-w49,Alabama Rx LLC,,Health and Personal Care Stores,Pharmacies and Drug Stores,446110,33.50833,-86.78715,2728 10th Ave S Ste 340,Birmingham,AL,35205,,,,
52730,52730,,zzw-222@8gk-tv3-yy9,,Metro Trailer Repair Co Inc,,Automotive Repair and Maintenance,General Automotive Repair,811111,33.52919,-86.79877,904 30th St N,Birmingham,AL,35203,,,,
53169,53169,,224-222@8gk-tth-bhq,,Avenue F Barber Shop,,Personal Care Services,Barber Shops,812111,33.494724,-86.826065,215 6th Ave S,Birmingham,AL,35205,,,,
53275,53275,,zzz-222@8gm-96w-yd9,,Sherman Heights South Vp18,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,33.514584,-86.91187,2701 Slayden Ave,Birmingham,AL,35224,,,,
53992,53992,,zzw-223@8gk-tdz-rp9,224-222@8gk-tdz-rzf,Hair Show Beauty Supply,,Health and Personal Care Stores,"Cosmetics, Beauty Supplies, and Perfume Stores",446120,33.5289,-86.72505,7513 Crestwood Blvd,Birmingham,AL,35210,,,,
54129,54129,,zzw-223@8gk-tqp-9xq,,Pep Boys,Pep Boys,"Automotive Parts, Accessories, and Tire Stores",Automotive Parts and Accessories Stores,441310,33.407757,-86.66509,5489 Highway 280,Birmingham,AL,35242,,,,
55170,55170,,223-223@8gk-tcs-rff,,Dollar General,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",All Other General Merchandise Stores,452319,33.55535,-86.818596,3301 26th St N,Birmingham,AL,35207,,,,
55926,55926,,zzw-222@8gk-tc5-t35,zzz-222@8gk-tc6-5j9,Roebuck Municipal Golf Course,,Other Amusement and Recreation Industries,Golf Courses and Country Clubs,713910,33.580765,-86.71587,8920 Roebuck Blvd,Birmingham,AL,35206,,,,
57639,57639,,223-222@8gk-tv4-5xq,zzw-22h@8gk-tv4-5xq,Computer Consultants,,Electronics and Appliance Stores,Electronics Stores,443142,33.517635,-86.808495,420 20th St N,Birmingham,AL,35203,,,,
57669,57669,,225-222@8gk-tv9-r49,,Ocean,,Restaurants and Other Eating Places,Full-Service Restaurants,722511,33.498703,-86.79568,1218 20th St S,Birmingham,AL,35205,,,,
59390,59390,,225-222@8gk-t8y-tvz,,Tachna David Dr DPM,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.526382,-86.71876,1675 Montclair Rd Ste 277,Birmingham,AL,35210,,,,
63263,63263,,zzw-222@8gk-tdv-qs5,,Gibson Elem Sch,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,33.541645,-86.76187,956 50th St N,Birmingham,AL,35212,,,,
63910,63910,,22j-222@8gk-tv4-5fz,249-222@8gk-tv4-5fz,The Community Foundation Of Greater Birmingham,,Religious Organizations,Religious Organizations,813110,33.515488,-86.80431,2100 1st Ave N Ste 700,Birmingham,AL,35203,,,,
64485,64485,,223-222@8gk-tvx-pjv,,Homestead House Warehouse Showroom,,Furniture Stores,Furniture Stores,442110,33.47807,-86.89779,1200 Bessemer Rd,Birmingham,AL,35228,,,,
64632,64632,,223-223@8gk-ttf-33q,223-222@8gk-ttf-33q,Lifting Christ Worship Center,,Religious Organizations,Religious Organizations,813110,33.48064,-86.854004,1627 Dennison Ave SW,Birmingham,AL,35211,,,,
65548,65548,,223-233@8gk-tv9-w8v,,Holloway Michele MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.50403,-86.80518,1600 7th Ave S,Birmingham,AL,35233,,,,
66158,66158,,223-222@8gk-tdw-5cq,,Christ Health Center Inc,,Health and Personal Care Stores,Pharmacies and Drug Stores,446110,33.541775,-86.7491,5720 1st Ave S,Birmingham,AL,35212,,,,
66920,66920,,226-222@8gk-tv2-xdv,,Apollo Counseling,,Offices of Other Health Practitioners,Offices of Mental Health Practitioners (except Physicians),621330,33.502544,-86.79109,1117 22nd St S Ste 208,Birmingham,AL,35205,,,,
67805,67805,,228-222@8gk-tqv-ct9,,Farmers Insurance Group,Farmers Insurance Group,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210,33.36997,-86.66743,198 Narrows Dr Ste 105,Birmingham,AL,35242,,,,
68904,68904,,224-222@8gk-tth-mff,,Freedom Mission Holiness Church,,Religious Organizations,Religious Organizations,813110,33.500088,-86.83123,7 1st Pl S,Birmingham,AL,35205,,,,
70052,70052,,222-222@8gk-tch-xdv,,"Samuel, Son & Co.","Samuel, Son & Co.",Steel Product Manufacturing from Purchased Steel,Rolled Steel Shape Manufacturing,331221,33.651463,-86.719536,1400 Red Hollow Rd,Birmingham,AL,35215,,,,
70504,70504,,239-222@8gk-ttr-5cq,224-222@8gk-ttq-sdv,J Mclaughlin,J Mclaughlin,Clothing Stores,Family Clothing Stores,448140,33.447975,-86.72805,225 Summit Blvd Ste 98,Birmingham,AL,35243,,,,
73510,73510,,zzw-22c@8gk-tt7-7qz,223-226@8gk-tt7-6kz,Birmingham Functional Neurology,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.498535,-86.84575,817 Princeton Ave SW Ste 112,Birmingham,AL,35211,,,,
73955,73955,,223-224@8gk-tt7-6p9,224-222@8gk-tt7-6x5,Eller Timothy MD,,Offices of Physicians,Offices of Physicians (except Mental Health Specialists),621111,33.498943,-86.848366,832 Princeton Ave SW,Birmingham,AL,35211,,,,
74378,74378,,zzw-222@8gk-ttj-4vz,,Ctr Street Middle,,Elementary and Secondary Schools,Elementary and Secondary Schools,611110,33.48763,-86.829,1832 Center Way S,Birmingham,AL,35205,,,,
74591,74591,,zzw-222@8gk-tth-bkz,,Hollywood Barber & Beauty Shop,,Personal Care Services,Barber Shops,812111,33.4952,-86.82644,216 6th Ave S,Birmingham,AL,35205,,,,
76000,76000,,224-222@8gk-tv9-rkz,,Blue Cross and Blue Shield of Alabama,,"Agencies, Brokerages, and Other Insurance Related Activities",Insurance Agencies and Brokerages,524210,33.50149,-86.799225,936 19th St S,Birmingham,AL,35205,,,,
76059,76059,,224-222@8gk-ttb-3dv,,Victory Missionary Baptist Church,,Religious Organizations,Religious Organizations,813110,33.50738,-86.82378,706 2nd Ave N,Birmingham,AL,35203,,,,
76332,76332,,229-222@8gk-twc-9cq,,Hormone Health and Weight Loss of Birmingham,,Personal Care Services,Diet and Weight Reducing Centers,812191,33.41734,-86.81086,700 Century Park S Ste 112,Birmingham,AL,35226,,,,
76498,76498,,227-223@8gk-ttg-94v,,TitleMax,TitleMax,Nondepository Credit Intermediation,Consumer Lending,522291,33.493515,-86.88174,2012 Bessemer Rd,Birmingham,AL,35208,,,,
76955,76955,,zzz-222@8gk-tdw-q9f,,Crestwood,,"Museums, Historical Sites, and Similar Institutions",Nature Parks and Other Similar Institutions,712190,33.528698,-86.74935,5400 Crestwood Blvd,Birmingham,AL,35212,,,,
