segment_id,Purpose,origin_zone,weekday,destination_zone,destination_visits,destination_service_days,destination_share,p_s_d,destination_rank,is_dominant_destination
Dialysis | r10_c12 | Friday,Dialysis,r10_c12,Friday,r16_c13,2,2,1.0,1.0,1,True
Dialysis | r10_c12 | Monday,Dialysis,r10_c12,Monday,r16_c13,2,2,1.0,1.0,1,True
Dialysis | r10_c12 | Wednesday,Dialysis,r10_c12,Wednesday,r16_c13,2,2,1.0,1.0,1,True
Dialysis | r10_c14 | Friday,Dialysis,r10_c14,Friday,r7_c10,62,53,1.0,1.0,1,True
Dialysis | r10_c14 | Monday,Dialysis,r10_c14,Monday,r7_c10,64,52,1.0,1.0,1,True
Dialysis | r10_c14 | Thursday,Dialysis,r10_c14,Thursday,r7_c10,1,1,1.0,1.0,1,True
Dialysis | r10_c14 | Tuesday,Dialysis,r10_c14,Tuesday,r7_c10,1,1,1.0,1.0,1,True
Dialysis | r10_c14 | Wednesday,Dialysis,r10_c14,Wednesday,r7_c10,58,52,1.0,1.0,1,True
Dialysis | r11_c11 | Friday,Dialysis,r11_c11,Friday,r13_c12,1,1,1.0,1.0,1,True
Dialysis | r11_c11 | Monday,Dialysis,r11_c11,Monday,r13_c12,5,2,1.0,1.0,1,True
Dialysis | r11_c11 | Wednesday,Dialysis,r11_c11,Wednesday,r13_c12,1,1,1.0,1.0,1,True
Dialysis | r13_c11 | Friday,Dialysis,r13_c11,Friday,r16_c13,13,11,1.0,1.0,1,True
Dialysis | r13_c11 | Monday,Dialysis,r13_c11,Monday,r16_c13,10,10,1.0,1.0,1,True
Dialysis | r13_c11 | Wednesday,Dialysis,r13_c11,Wednesday,r16_c13,12,10,1.0,1.0,1,True
Dialysis | r13_c12 | Friday,Dialysis,r13_c12,Friday,r13_c12,169,53,0.676,0.676,1,True
Dialysis | r13_c12 | Friday,Dialysis,r13_c12,Friday,r7_c14,60,43,0.24,0.24,2,False
Dialysis | r13_c12 | Friday,Dialysis,r13_c12,Friday,r14_c17,20,9,0.08,0.08,3,False
Dialysis | r13_c12 | Friday,Dialysis,r13_c12,Friday,r11_c11,1,1,0.004,0.004,4,False
Dialysis | r13_c12 | Monday,Dialysis,r13_c12,Monday,r13_c12,171,52,0.6602316602316602,0.6602316602316602,1,True
Dialysis | r13_c12 | Monday,Dialysis,r13_c12,Monday,r7_c14,67,43,0.25868725868725867,0.25868725868725867,2,False
Dialysis | r13_c12 | Monday,Dialysis,r13_c12,Monday,r14_c17,18,8,0.0694980694980695,0.0694980694980695,3,False
Dialysis | r13_c12 | Monday,Dialysis,r13_c12,Monday,r11_c11,3,1,0.011583011583011582,0.011583011583011582,4,False
Dialysis | r13_c12 | Tuesday,Dialysis,r13_c12,Tuesday,r13_c12,4,1,1.0,1.0,1,True
Dialysis | r13_c12 | Wednesday,Dialysis,r13_c12,Wednesday,r13_c12,180,52,0.7114624505928854,0.7114624505928854,1,True
Dialysis | r13_c12 | Wednesday,Dialysis,r13_c12,Wednesday,r7_c14,55,42,0.21739130434782608,0.21739130434782608,2,False
Dialysis | r13_c12 | Wednesday,Dialysis,r13_c12,Wednesday,r14_c17,16,8,0.06324110671936758,0.06324110671936758,3,False
Dialysis | r13_c12 | Wednesday,Dialysis,r13_c12,Wednesday,r11_c11,2,1,0.007905138339920948,0.007905138339920948,4,False
Dialysis | r14_c11 | Monday,Dialysis,r14_c11,Monday,r16_c13,1,1,1.0,1.0,1,True
Dialysis | r14_c12 | Tuesday,Dialysis,r14_c12,Tuesday,r13_c12,1,1,1.0,1.0,1,True
Dialysis | r14_c17 | Friday,Dialysis,r14_c17,Friday,r13_c12,12,9,1.0,1.0,1,True
Dialysis | r14_c17 | Monday,Dialysis,r14_c17,Monday,r13_c12,12,8,1.0,1.0,1,True
Dialysis | r14_c17 | Wednesday,Dialysis,r14_c17,Wednesday,r13_c12,16,8,1.0,1.0,1,True
Dialysis | r14_c5 | Monday,Dialysis,r14_c5,Monday,r15_c7,1,1,1.0,1.0,1,True
Dialysis | r14_c5 | Thursday,Dialysis,r14_c5,Thursday,r15_c7,23,21,1.0,1.0,1,True
Dialysis | r14_c5 | Tuesday,Dialysis,r14_c5,Tuesday,r15_c7,31,23,1.0,1.0,1,True
Dialysis | r14_c5 | Wednesday,Dialysis,r14_c5,Wednesday,r15_c7,2,2,1.0,1.0,1,True
Dialysis | r14_c9 | Friday,Dialysis,r14_c9,Friday,r16_c13,3,2,1.0,1.0,1,True
Dialysis | r14_c9 | Monday,Dialysis,r14_c9,Monday,r16_c13,2,1,1.0,1.0,1,True
Dialysis | r14_c9 | Wednesday,Dialysis,r14_c9,Wednesday,r16_c13,2,1,1.0,1.0,1,True
