NAME,Total_Population,Median_Household_Income,Mean_Household_Income,Under_5,Age_5_to_9,Age_10_to_14,Age_15_to_19,Age_20_to_24,Age_25_to_34,Age_35_to_44,Age_45_to_54,Age_55_to_64,Age_65_to_74,Age_75_plus,Income_Less_10k,Income_10k_15k,Income_15k_20k,Income_20k_25k,Income_25k_35k,Income_35k_50k,Income_50k_75k,Income_75k_100k,Income_100k_150k,Income_150k_200k,Income_200k_plus,White_Alone,Black_Alone,American_Indian_Alone,Asian_Alone,Pacific_Islander_Alone,Other_Race_Alone,Two_Or_More_Races,No_Schooling,High_School_Grad,Associates_Degree,Bachelors_Degree,Graduate_or_Professional_Degree,Total_Male,Total_Female,state,county,tract,block group
"Block Group 1, Census Tract 1, Jefferson County, Alabama",501.0,-666666666.0,12598900.0,24.0,8.0,12.0,73.0,0.0,0.0,0.0,0.0,39.0,0.0,10.0,50.0,18.0,40.0,0.0,10.0,23.0,0.0,0.0,0.0,8.0,11.0,48.0,299.0,13.0,0.0,0.0,86.0,55.0,0.0,39.0,47.0,39.0,16.0,294.0,207.0,1,73,100,1
"Block Group 2, Census Tract 1, Jefferson County, Alabama",1011.0,39531.0,13552600.0,0.0,44.0,0.0,34.0,0.0,39.0,0.0,0.0,15.0,0.0,4.0,0.0,54.0,0.0,37.0,0.0,74.0,8.0,21.0,0.0,137.0,12.0,91.0,920.0,0.0,0.0,0.0,0.0,0.0,24.0,262.0,9.0,16.0,9.0,625.0,386.0,1,73,100,2
"Block Group 3, Census Tract 1, Jefferson County, Alabama",278.0,36302.0,3025600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,43.0,0.0,8.0,25.0,0.0,0.0,0.0,24.0,28.0,0.0,4.0,0.0,17.0,251.0,0.0,0.0,0.0,0.0,10.0,10.0,165.0,4.0,0.0,0.0,139.0,139.0,1,73,100,3
"Block Group 4, Census Tract 1, Jefferson County, Alabama",334.0,29480.0,6750400.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,20.0,0.0,0.0,101.0,24.0,11.0,13.0,0.0,8.0,23.0,146.0,188.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,13.0,96.0,0.0,219.0,115.0,1,73,100,4
"Block Group 5, Census Tract 1, Jefferson County, Alabama",422.0,33561.0,6487600.0,0.0,23.0,12.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,28.0,33.0,0.0,8.0,0.0,42.0,0.0,0.0,14.0,28.0,31.0,83.0,304.0,0.0,0.0,0.0,17.0,18.0,9.0,147.0,8.0,8.0,0.0,167.0,255.0,1,73,100,5
"Block Group 1, Census Tract 3, Jefferson County, Alabama",815.0,22733.0,11241200.0,54.0,40.0,27.0,0.0,0.0,7.0,0.0,0.0,29.0,15.0,25.0,92.0,46.0,12.0,74.0,9.0,43.0,11.0,13.0,0.0,17.0,21.0,120.0,695.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,32.0,68.0,10.0,359.0,456.0,1,73,300,1
"Block Group 2, Census Tract 3, Jefferson County, Alabama",364.0,21734.0,4096400.0,14.0,33.0,13.0,0.0,8.0,0.0,13.0,0.0,53.0,17.0,16.0,25.0,0.0,0.0,31.0,10.0,9.0,0.0,0.0,0.0,8.0,0.0,106.0,258.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,9.0,22.0,235.0,129.0,1,73,300,2
"Block Group 3, Census Tract 3, Jefferson County, Alabama",219.0,-666666666.0,1741600.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,25.0,14.0,0.0,13.0,21.0,9.0,0.0,8.0,9.0,0.0,0.0,0.0,0.0,20.0,0.0,112.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,9.0,37.0,0.0,131.0,88.0,1,73,300,3
"Block Group 1, Census Tract 4, Jefferson County, Alabama",648.0,24032.0,6709800.0,12.0,10.0,0.0,0.0,1.0,0.0,129.0,10.0,0.0,9.0,0.0,72.0,0.0,0.0,31.0,29.0,0.0,0.0,0.0,6.0,0.0,8.0,3.0,643.0,0.0,0.0,0.0,0.0,2.0,0.0,56.0,41.0,0.0,29.0,408.0,240.0,1,73,400,1
"Block Group 2, Census Tract 4, Jefferson County, Alabama",1081.0,-666666666.0,15090300.0,26.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,58.0,142.0,0.0,42.0,8.0,0.0,26.0,60.0,0.0,0.0,15.0,0.0,19.0,0.0,69.0,981.0,0.0,20.0,0.0,0.0,11.0,11.0,215.0,38.0,58.0,0.0,374.0,707.0,1,73,400,2
