segment_id,Purpose,origin_zone,weekday,pickup_time_bin_min,pickup_time_bin,time_bin_trips,time_bin_service_days,trips,service_days,policy_flexible,p_time,p_s_t,peak_time_bin_min,peak_time_bin,peak_time_share,signed_shift_minutes,absolute_shift_minutes,is_peak_time,is_alternative_time,capped_shift_minutes,expected_shift_contribution_minutes,temporal_index_contribution,temporal_eligible,meets_reliability_filter,alternative_time_share,average_alternative_shift_minutes,expected_shift_potential_minutes,temporal_flexibility_index,A_s,D_s_minutes,T_s,alternative_rank
Dialysis | r10_c14 | Friday,Dialysis,r10_c14,Friday,960.0,16:00-16:30,43,32,155,53,True,0.27741935483870966,0.27741935483870966,930.0,15:30-16:00,0.2967741935483871,30.0,30.0,False,True,30.0,8.32258064516129,0.06935483870967742,True,True,0.7032258064516129,39.08256880733945,27.483870967741936,0.2290322580645161,0.7032258064516129,39.08256880733945,0.2290322580645161,1
Dialysis | r10_c14 | Friday,Dialysis,r10_c14,Friday,870.0,14:30-15:00,33,28,155,53,True,0.2129032258064516,0.2129032258064516,930.0,15:30-16:00,0.2967741935483871,-60.0,60.0,False,True,60.0,12.774193548387096,0.1064516129032258,True,True,0.7032258064516129,39.08256880733945,27.483870967741936,0.2290322580645161,0.7032258064516129,39.08256880733945,0.2290322580645161,2
Dialysis | r10_c14 | Friday,Dialysis,r10_c14,Friday,900.0,15:00-15:30,33,28,155,53,True,0.2129032258064516,0.2129032258064516,930.0,15:30-16:00,0.2967741935483871,-30.0,30.0,False,True,30.0,6.387096774193548,0.0532258064516129,True,True,0.7032258064516129,39.08256880733945,27.483870967741936,0.2290322580645161,0.7032258064516129,39.08256880733945,0.2290322580645161,3
Dialysis | r10_c14 | Monday,Dialysis,r10_c14,Monday,900.0,15:00-15:30,46,28,175,52,True,0.26285714285714284,0.26285714285714284,930.0,15:30-16:00,0.26857142857142857,-30.0,30.0,False,True,30.0,7.885714285714285,0.06571428571428571,True,True,0.7314285714285714,38.671875,28.285714285714285,0.23571428571428568,0.7314285714285714,38.671875,0.23571428571428568,1
Dialysis | r10_c14 | Monday,Dialysis,r10_c14,Monday,960.0,16:00-16:30,46,32,175,52,True,0.26285714285714284,0.26285714285714284,930.0,15:30-16:00,0.26857142857142857,30.0,30.0,False,True,30.0,7.885714285714285,0.06571428571428571,True,True,0.7314285714285714,38.671875,28.285714285714285,0.23571428571428568,0.7314285714285714,38.671875,0.23571428571428568,2
Dialysis | r10_c14 | Monday,Dialysis,r10_c14,Monday,870.0,14:30-15:00,31,29,175,52,True,0.17714285714285713,0.17714285714285713,930.0,15:30-16:00,0.26857142857142857,-60.0,60.0,False,True,60.0,10.628571428571428,0.08857142857142856,True,True,0.7314285714285714,38.671875,28.285714285714285,0.23571428571428568,0.7314285714285714,38.671875,0.23571428571428568,3
Dialysis | r10_c14 | Monday,Dialysis,r10_c14,Monday,990.0,16:30-17:00,4,1,175,52,True,0.022857142857142857,0.022857142857142857,930.0,15:30-16:00,0.26857142857142857,60.0,60.0,False,True,60.0,1.3714285714285714,0.011428571428571429,True,True,0.7314285714285714,38.671875,28.285714285714285,0.23571428571428568,0.7314285714285714,38.671875,0.23571428571428568,4
Dialysis | r10_c14 | Monday,Dialysis,r10_c14,Monday,1020.0,17:00-17:30,1,1,175,52,True,0.005714285714285714,0.005714285714285714,930.0,15:30-16:00,0.26857142857142857,90.0,90.0,False,True,90.0,0.5142857142857142,0.004285714285714285,True,True,0.7314285714285714,38.671875,28.285714285714285,0.23571428571428568,0.7314285714285714,38.671875,0.23571428571428568,5
Dialysis | r10_c14 | Thursday,Dialysis,r10_c14,Thursday,930.0,15:30-16:00,19,13,68,33,True,0.27941176470588236,0.27941176470588236,900.0,15:00-15:30,0.4264705882352941,30.0,30.0,False,True,30.0,8.382352941176471,0.06985294117647059,True,True,0.5735294117647058,41.53846153846154,23.823529411764707,0.1985294117647059,0.5735294117647058,41.53846153846154,0.1985294117647059,1
Dialysis | r10_c14 | Thursday,Dialysis,r10_c14,Thursday,840.0,14:00-14:30,8,7,68,33,True,0.11764705882352941,0.11764705882352941,900.0,15:00-15:30,0.4264705882352941,-60.0,60.0,False,True,60.0,7.0588235294117645,0.058823529411764705,True,True,0.5735294117647058,41.53846153846154,23.823529411764707,0.1985294117647059,0.5735294117647058,41.53846153846154,0.1985294117647059,2
Dialysis | r10_c14 | Thursday,Dialysis,r10_c14,Thursday,960.0,16:00-16:30,7,6,68,33,True,0.10294117647058823,0.10294117647058823,900.0,15:00-15:30,0.4264705882352941,60.0,60.0,False,True,60.0,6.1764705882352935,0.051470588235294115,True,True,0.5735294117647058,41.53846153846154,23.823529411764707,0.1985294117647059,0.5735294117647058,41.53846153846154,0.1985294117647059,3
Dialysis | r10_c14 | Thursday,Dialysis,r10_c14,Thursday,870.0,14:30-15:00,5,4,68,33,True,0.07352941176470588,0.07352941176470588,900.0,15:00-15:30,0.4264705882352941,-30.0,30.0,False,True,30.0,2.2058823529411766,0.01838235294117647,True,True,0.5735294117647058,41.53846153846154,23.823529411764707,0.1985294117647059,0.5735294117647058,41.53846153846154,0.1985294117647059,4
Dialysis | r10_c14 | Tuesday,Dialysis,r10_c14,Tuesday,930.0,15:30-16:00,21,14,57,35,True,0.3684210526315789,0.3684210526315789,900.0,15:00-15:30,0.42105263157894735,30.0,30.0,False,True,30.0,11.052631578947368,0.09210526315789473,True,True,0.5789473684210527,38.18181818181819,22.10526315789474,0.18421052631578946,0.5789473684210527,38.18181818181819,0.18421052631578946,1
Dialysis | r10_c14 | Tuesday,Dialysis,r10_c14,Tuesday,840.0,14:00-14:30,8,7,57,35,True,0.14035087719298245,0.14035087719298245,900.0,15:00-15:30,0.42105263157894735,-60.0,60.0,False,True,60.0,8.421052631578947,0.07017543859649122,True,True,0.5789473684210527,38.18181818181819,22.10526315789474,0.18421052631578946,0.5789473684210527,38.18181818181819,0.18421052631578946,2
Dialysis | r10_c14 | Tuesday,Dialysis,r10_c14,Tuesday,870.0,14:30-15:00,3,3,57,35,True,0.05263157894736842,0.05263157894736842,900.0,15:00-15:30,0.42105263157894735,-30.0,30.0,False,True,30.0,1.5789473684210527,0.013157894736842106,True,True,0.5789473684210527,38.18181818181819,22.10526315789474,0.18421052631578946,0.5789473684210527,38.18181818181819,0.18421052631578946,3
Dialysis | r10_c14 | Tuesday,Dialysis,r10_c14,Tuesday,960.0,16:00-16:30,1,1,57,35,True,0.017543859649122806,0.017543859649122806,900.0,15:00-15:30,0.42105263157894735,60.0,60.0,False,True,60.0,1.0526315789473684,0.008771929824561403,True,True,0.5789473684210527,38.18181818181819,22.10526315789474,0.18421052631578946,0.5789473684210527,38.18181818181819,0.18421052631578946,4
