origin_zone,scored_segments,scored_trips,outcome_trips,cancelled_trips,temporal_weighted_mean,geographical_weighted_mean,weighted_cancellation_rate,row,col,longitude_center,latitude_center
r28_c16,7,4213,4170,1871,0.15588654165677665,0.6898834180939849,0.4486810551558753,28,16,-86.81688581765886,33.489361217391306
r35_c21,6,3735,3714,1503,0.17804551539491298,0.8134759672814629,0.40468497576736673,35,21,-86.68660788361609,33.64153513043478
r23_c16,7,3657,3532,997,0.1140278917145201,0.8200191475953224,0.28227633069082675,23,16,-86.81688581765886,33.38066556521739
r26_c11,5,3282,3179,1114,0.21130408287629493,0.7108917224082242,0.350424661843347,26,11,-86.94716375170162,33.44588295652174
r31_c13,9,3046,2985,1630,0.14051214707813525,0.7523326028264468,0.5460636515912898,31,13,-86.89505257808452,33.55457860869565
r12_c21,5,2967,2964,1574,0.15444893832153692,0.8130760071667584,0.5310391363022942,12,21,-86.68660788361609,33.14153513043478
r32_c18,5,2619,2558,1046,0.3230240549828179,0.49976827364229637,0.40891321344800624,32,18,-86.76477464404175,33.57631773913044
r29_c16,10,2255,1902,654,0.15509977827050997,0.04676403564678031,0.3438485804416404,29,16,-86.81688581765886,33.51110034782609
r30_c10,7,2198,2178,440,0.2602365787079163,0.6556014553208506,0.20202020202020202,30,10,-86.97321933851018,33.53283947826087
r32_c20,8,2030,2007,818,0.18004926108374383,0.6840329086880547,0.4075734927752865,32,20,-86.71266347042464,33.57631773913044
r27_c11,5,1770,1680,639,0.24731638418079097,0.6076828524796987,0.38035714285714284,27,11,-86.94716375170162,33.467622086956524
r16_c16,5,1665,1632,770,0.1,0.824841453833331,0.47181372549019607,16,16,-86.81688581765886,33.228491652173915
r27_c12,7,1413,1399,535,0.22523000707714083,0.7037761379524472,0.38241601143674053,27,12,-86.92110816489307,33.467622086956524
r32_c17,5,1389,1161,491,0.1560475161987041,0.0,0.42291128337639966,32,17,-86.7908302308503,33.57631773913044
r36_c16,3,1294,1281,543,0.437789799072643,0.731160630430917,0.4238875878220141,36,16,-86.81688581765886,33.663274260869564
r31_c16,8,1283,1260,542,0.2299298519095869,0.27694405730705557,0.4301587301587302,31,16,-86.81688581765886,33.55457860869565
r24_c17,8,1238,1222,277,0.1694264943457189,0.022430351133729657,0.22667757774140754,24,17,-86.7908302308503,33.40240469565217
r10_c14,14,1202,1188,473,0.15702995008319465,0.44526826461797253,0.39814814814814814,10,14,-86.86899699127596,33.09805686956522
r27_c10,12,1015,983,256,0.16995073891625614,0.036201193442572756,0.26042726347914547,27,10,-86.97321933851018,33.467622086956524
r33_c21,10,1005,971,334,0.30970149253731344,0.3470508671345188,0.34397528321318227,33,21,-86.68660788361609,33.59805686956522
r34_c21,5,988,949,352,0.07844129554655871,0.025592884816285813,0.37091675447839834,34,21,-86.68660788361609,33.619796
r31_c15,5,967,962,437,0.1670113753877973,0.45075986632328435,0.45426195426195426,31,15,-86.84294140446741,33.55457860869565
r21_c17,4,897,873,418,0.4367335562987737,0.7639475299267615,0.47880870561282934,21,17,-86.7908302308503,33.33718730434783
r10_c18,5,868,858,467,0.2206221198156682,0.0,0.5442890442890443,10,18,-86.76477464404175,33.09805686956522
r33_c13,5,814,754,402,0.20331695331695332,0.07867085898072788,0.53315649867374,33,13,-86.89505257808452,33.59805686956522
r27_c14,1,813,813,444,0.36469864698646987,0.6517098381315916,0.5461254612546126,27,14,-86.86899699127596,33.467622086956524
r22_c15,5,793,766,178,0.06021437578814628,0.0,0.23237597911227154,22,15,-86.84294140446741,33.35892643478261
r30_c14,5,763,735,337,0.12221494102228048,0.0,0.45850340136054424,30,14,-86.86899699127596,33.53283947826087
r28_c15,11,710,611,271,0.0647887323943662,0.10487386238517345,0.44353518821603927,28,15,-86.84294140446741,33.489361217391306
r23_c10,8,694,664,270,0.13544668587896252,0.0,0.4066265060240964,23,10,-86.97321933851018,33.38066556521739
r17_c16,8,689,689,337,0.17198838896952104,0.6342542318870587,0.48911465892597966,17,16,-86.81688581765886,33.250230782608696
r26_c13,5,640,594,228,0.17343749999999997,0.0,0.3838383838383838,26,13,-86.89505257808452,33.44588295652174
r23_c9,5,639,626,176,0.2625195618153365,0.03589178773830452,0.28115015974440893,23,9,-86.99927492531873,33.38066556521739
r10_c19,5,635,630,261,0.2094488188976378,0.0,0.4142857142857143,10,19,-86.7387190572332,33.09805686956522
r30_c18,5,608,582,212,0.0024671052631578946,0.0,0.3642611683848797,30,18,-86.76477464404175,33.53283947826087
