segment_id,Purpose,origin_zone,weekday,trips,service_days,policy_flexible,peak_time_bin,peak_time_share,active_time_bins,alternative_time_share_raw,average_alternative_shift_minutes_raw,expected_shift_potential_minutes_raw,temporal_flexibility_index_raw,meets_reliability_filter,temporal_eligible,alternative_time_share,average_alternative_shift_minutes,expected_shift_potential_minutes,temporal_flexibility_index,A_s,D_s_minutes,T_s,active_destination_zones,sum_squared_destination_shares,alternative_destination_count_raw,effective_destination_count_raw,geographical_flexibility_index_raw,dominant_destination_zone,dominant_destination_visits,dominant_destination_share,geographical_eligible,alternative_destination_count,effective_destination_count,geographical_flexibility_index,dominant_destination_zone_final,dominant_destination_visits_final,dominant_destination_share_final,G_s
Dialysis | r10_c14 | Friday,Dialysis,r10_c14,Friday,155,53,True,15:30-16:00,0.2967741935483871,4,0.7032258064516129,39.08256880733944,27.483870967741932,0.2290322580645161,True,True,0.7032258064516129,39.08256880733944,27.483870967741932,0.2290322580645161,0.7032258064516129,39.08256880733944,0.2290322580645161,4.0,0.4761290322580645,3.0,2.100271002710027,0.5238709677419355,r10_c15,87.0,0.5612903225806452,True,3.0,2.100271002710027,0.5238709677419355,r10_c15,87.0,0.5612903225806452,0.5238709677419355
Dialysis | r10_c14 | Monday,Dialysis,r10_c14,Monday,175,52,True,15:30-16:00,0.26857142857142857,6,0.7314285714285714,38.671875,28.285714285714285,0.23571428571428568,True,True,0.7314285714285714,38.671875,28.285714285714285,0.23571428571428568,0.7314285714285714,38.671875,0.23571428571428568,3.0,0.48545306122448983,2.0,2.059931391672832,0.5145469387755102,r10_c15,99.0,0.5657142857142857,True,2.0,2.059931391672832,0.5145469387755102,r10_c15,99.0,0.5657142857142857,0.5145469387755102
Dialysis | r10_c14 | Thursday,Dialysis,r10_c14,Thursday,68,33,True,15:00-15:30,0.4264705882352941,5,0.5735294117647058,41.53846153846154,23.823529411764707,0.19852941176470584,True,True,0.5735294117647058,41.53846153846154,23.823529411764707,0.19852941176470584,0.5735294117647058,41.53846153846154,0.19852941176470584,3.0,0.4788062283737024,2.0,2.088527551942186,0.5211937716262975,r9_c18,37.0,0.5441176470588235,True,2.0,2.088527551942186,0.5211937716262975,r9_c18,37.0,0.5441176470588235,0.5211937716262975
Dialysis | r10_c14 | Tuesday,Dialysis,r10_c14,Tuesday,57,35,True,15:00-15:30,0.42105263157894735,5,0.5789473684210527,38.18181818181818,22.105263157894736,0.1842105263157895,True,True,0.5789473684210527,38.18181818181818,22.105263157894736,0.1842105263157895,0.5789473684210527,38.18181818181818,0.1842105263157895,4.0,0.4699907663896583,3.0,2.1277013752455796,0.5300092336103417,r11_c20,30.0,0.5263157894736842,True,3.0,2.1277013752455796,0.5300092336103417,r11_c20,30.0,0.5263157894736842,0.5300092336103417
Dialysis | r10_c14 | Wednesday,Dialysis,r10_c14,Wednesday,149,52,True,15:30-16:00,0.28187919463087246,7,0.7181208053691275,41.77570093457944,30.0,0.24496644295302009,True,True,0.7181208053691275,41.77570093457944,30.0,0.24496644295302009,0.7181208053691275,41.77570093457944,0.24496644295302009,3.0,0.5063285437592902,2.0,1.9750022240014233,0.49367145624070985,r10_c15,86.0,0.5771812080536913,True,2.0,1.9750022240014233,0.49367145624070985,r10_c15,86.0,0.5771812080536913,0.49367145624070985
Dialysis | r10_c15 | Friday,Dialysis,r10_c15,Friday,60,53,True,09:00-09:30,1.0,1,0.0,,0.0,0.0,True,True,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,r10_c14,60.0,1.0,True,0.0,1.0,0.0,r10_c14,60.0,1.0,0.0
Dialysis | r10_c15 | Monday,Dialysis,r10_c15,Monday,60,52,True,09:00-09:30,0.9833333333333333,2,0.01666666666666672,89.99999999999972,1.5,0.0125,True,True,0.01666666666666672,89.99999999999972,1.5,0.0125,0.01666666666666672,89.99999999999972,0.0125,1.0,1.0,0.0,1.0,0.0,r10_c14,60.0,1.0,True,0.0,1.0,0.0,r10_c14,60.0,1.0,0.0
Dialysis | r10_c15 | Tuesday,Dialysis,r10_c15,Tuesday,1,1,True,09:00-09:30,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r10_c14,1.0,1.0,False,,,,,,,
Dialysis | r10_c15 | Wednesday,Dialysis,r10_c15,Wednesday,55,52,True,09:00-09:30,1.0,1,0.0,,0.0,0.0,True,True,0.0,,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,1.0,0.0,r10_c14,55.0,1.0,True,0.0,1.0,0.0,r10_c14,55.0,1.0,0.0
Dialysis | r11_c20 | Friday,Dialysis,r11_c20,Friday,1,1,True,09:30-10:00,1.0,1,0.0,,0.0,0.0,False,False,,,,,,,,1.0,1.0,0.0,1.0,0.0,r10_c14,1.0,1.0,False,,,,,,,
Dialysis | r11_c20 | Thursday,Dialysis,r11_c20,Thursday,24,20,True,10:00-10:30,0.9166666666666666,2,0.08333333333333337,29.999999999999986,2.5,0.020833333333333332,True,True,0.08333333333333337,29.999999999999986,2.5,0.020833333333333332,0.08333333333333337,29.999999999999986,0.020833333333333332,1.0,1.0,0.0,1.0,0.0,r10_c14,24.0,1.0,True,0.0,1.0,0.0,r10_c14,24.0,1.0,0.0
